Date,Link,Heading,Body
2021-10-15T10:15:00-05:00,https://www.theonion.com/intergalactic-animal-rights-groups-condemn-use-of-bruta-1847840926,Intergalactic Animal Rights Groups Condemn Use Of Brutal, Unsanitary Planet To Raise Human Meat,PR 0201 B—Issuing their latest denunciation in a long string of statements deploring the treatment of living sentient beings intergalactic animal rights groups  reportedly condemned the use of a brutal unsanitary planet Friday to raise human meat. “For far too long we have kept Homo sapiens crammed in disgusting conditions in the Earth slaughterhouse and it’s simply got to stop” read a translated statement from animal rights advocates PERHST2-K arguing that the intergalactic reliance on large amounts of human meat for their diets led to widespread raising of humans in suffocating overheated and dismal environments keeping the vast majority of them miserable and sedentary for their entire lives. “It’s well past time to admit the ethical implications of a human-based diet. We’ve all seen the reports and it’s simply not right to ignore the fact that humans could easily live to 400 or 500 years old if we didn’t force them into such terrible conditions. While they may not be as intelligent as we are recent studies suggest that the smartest adult humans can have the intelligence of a 4-attosecond-old speck so we don’t know how we can just float here eating human meat and thinking there’s nothing wrong with it. Just because they’re not intelligent enough to understand the reality of their situation doesn’t mean they aren’t deserving of our compassion. These unintelligent creatures believe they’re burying their dead when in fact every crematorium and graveyard is funneled straight to us for food and pleasure. It’s not right. That’s not even mentioning the health risks that human meat can cause coming as it does from an abattoir planet rife with disease.” Critics of PERHST2-K and other animal rights groups took to social media to say that intergalactic beings had been eating humans throughout their history and that alternative versions to human meat lacked the taste and bloody consistency of the real thing. 
2021-10-15T09:04:00-05:00,https://www.theonion.com/similac-introduces-new-ghost-pepper-infant-formula-1847864335,Similac Introduces New Ghost Pepper Infant Formula,CHICAGO—Touting the new product as a nourishing and blazing-hot way to give newborns their daily nutrients Similac introduced a new ghost pepper infant formula this week. “Our new formula contains 70% of a growing baby’s daily nutrients plus a tongue-scorching 1000000 Scoville Heat Units per serving” said Kristin Cornell spokesperson for Similac parent company Abbott Laboratories bragging that only the bravest of newborns would dare to try an infant formula over 50000 times hotter than any other on the market. “This isn’t your grandmother’s infant formula—this is for newborns who turn up their nose at the bland offerings on grocery store shelves and want to kick it up a notch with a searing punch of capsaicin in every sip. Whether used as a supplement to breastfeeding or as a substitute for it this ass-burning formula gives mothers a bold new option for testing their infants’ abilities to test spices and withstand pain. We guarantee that this’ll get even the most daring newborn shitting flames and crying tears of mercy in no time.” Reached for comment the American Academy of Pediatrics recommended that infants with a flair for risk skip the ghost pepper formula and instead try Gerber’s new baby food made with real deadly nightshade berries. 
2021-10-15T07:00:00-05:00,https://www.theonion.com/remington-introduces-ammunition-for-sensitive-skin-1847857477,Remington Introduces Ammunition For Sensitive Skin,MADISON NC—Noting that the new formula provides immediate relief to those prone to dry skin itchiness or rashes weapons manufacturer Remington announced a new line of ammunition Friday made for sensitive skin. “Our new ammunition ensures that gunshot victims stay clean clear and under control for hours after they’re rushed into the ICU or packed into a body bag” said company president Anthony Acitelli adding that the specially formulated high-performance ammo hydrated skin as it penetrated the body while soothing away flakiness that could cause irritation or other pesky issues next to the bullet wound. “When you’re dragging your bullet-ridden body across a mall floor the last thing you want to worry about is whether you’re about to have another unsightly breakout. That’s why this hypoallergenic ammunition is designed to be free of fragrances and other irritants. Our company sincerely wants you to look your best dead or alive.” The company also announced plans to release an acne-clearing bullet specifically designed for teens before next school year.
2021-10-14T09:00:00-05:00,https://www.theonion.com/nasa-lights-astronauts-on-fire-in-order-to-simulate-lif-1847849318,NASA Lights Astronauts On Fire In Order To Simulate Life On Venus,HOUSTON—Noting that the training mission would provide crucial insight into humanity’s potential for interplanetary travel the National Aeronautics and Space Administration announced Thursday that they had lit three astronauts on fire in an experiment to simulate life on Venus. “Setting these astronauts aflame provides our first real glimpse into the sort of rigorous training that our personnel would need to survive Venus’s 900-degree Fahrenheit days” said agency administrator Bill Nelson adding that NASA researchers had taken exacting measurements of the astronaut’s vitals in the anguished moments before they were incinerated. “We were also able to replicate Venus’s harsh atmospheric conditions by dumping sulfuric acid onto these brave men as they pleaded for mercy. It’s a fascinating window into what our astronauts will actually experience once they step foot onto the Morning Star.” Nelson added that the agency then crushed the astronauts’ bodies in a trash compactor to simulate the effects of Jupiter’s extreme gravity on the human skeleton.
2021-10-13T12:35:00-05:00,https://www.theonion.com/isis-recalls-starting-in-bombed-out-garage-1847841151,ISIS Recalls Starting In Bombed-Out Garage,DAMASCUS SYRIA—Reminiscing about the ruthless terrorist organization’s humble beginnings members of the Islamic State recounted to reporters Wednesday how they started out as “just a handful of violent extremists” working in a bombed-out garage. “Man it’s crazy to think that the tiny terror cell operating out of that cramped rubble-filled space has gone on to become one of the most feared militant groups in the world” said Caliph Abu Ibrahim al-Hashimi al-Qurashi explaining that he never could have imagined the global reach his network would achieve back when he was working with late ISIS founder Abu-Bakr al-Baghdadi in the garage which had been damaged by a U.S. Hellfire missile years before. “We would stay up all night talking about how we could establish a totalitarian theocracy carry out ethnic-cleansing campaigns and groom child soldiers. We had a lot of fun in those days. No one believed we would innovate and become far more deadly and brutal than all the other  Salafi jihadists but that’s exactly what we did. Ha I remember how the neighbors used to complain about all the noise from the screaming sex slaves and the beheadings! We’d just laugh.” Al-Qurashi added that the garage experience was ultimately what inspired ISIS to start similar terror-cell incubators in at least 18 countries around the world.
2021-10-13T12:20:00-05:00,https://www.theonion.com/white-house-warns-supply-chain-shortages-could-lead-ame-1847855509,White House Warns Supply Chain Shortages Could Lead Americans To Discover True Meaning Of Christmas,WASHINGTON—As reports of worldwide shipping issues continued to mount the White House warned Wednesday that supply chain shortages could lead Americans to discover the true meaning of Christmas. “Unless these unprecedented scarcities are reversed soon hundreds of thousands of Americans could be forced to learn that there is more to life than material objects” said White House press secretary Jen Psaki cautioning that delays in shipping of clothing toys and other common gifts had the potential to make this Christmas the most communal and brotherly of any on record. “While we’re working with shipping stakeholders around the world to fix the problems we also need Americans to prepare themselves to learn the real reason for the season. Of course we understand that no one is happy about this situation but millions of people will have to contend with the reality that their Christmas tree may be shrunken and their presents few but there’s love abounding for all hearts that are true. Certainly no one wants to find out that what’s really important is love and having people to share it with.” At press time concerns about holiday-season shortages had increased after reports from around the country that thousands of Americans were already attempting to stockpile that magic Christmas feeling.
2021-10-13T11:30:00-05:00,https://www.theonion.com/southwest-still-experiencing-delays-after-not-enough-pe-1847855266,Southwest Still Experiencing Delays After Not Enough People Believe In Power Of Flight To Get Plane To Take Off,DALLAS TX—Following a weekend that saw record cancellations for North America’s third largest passenger carrier Southwest Airlines was reportedly still experiencing heavy delays Wednesday after not enough people believed in the power of flight to get their planes to take off. “We apologize for the continued troubles resulting from having too few passengers overflowing with the childlike wonder necessary to hold the plane aloft in defiance of physics and common sense” said CEO Gary Kelly confirming that dozens of aircraft had spent hours circling the tarmac in an attempt to rise only to be stymied by Americans’ increasingly cynical and hardhearted nature. “Unfortunately these delays are going to continue for the foreseeable future unless everyone within the sound of my voice claps their hands and declares ‘I do believe in airplanes I do I do!’” At press time Kelly cautioned that if even one American didn’t keep the power of flight alive in their hearts the entire fleet of aircraft could explode on takeoff. 
2021-10-12T15:05:00-05:00,https://www.theonion.com/unhappy-nation-wonders-if-it-just-projecting-45-approv-1847847720,Unhappy Nation Wonders If It Just Projecting 45% Approval Rating Of Itself Onto President,WASHINGTON—Admitting they had been pretty dissatisfied with their own lives lately the American people wondered Tuesday if their unhappiness was causing them to project a 45% approval rating of themselves onto President Joe Biden. “It just occurred to me that my personal frustrations and feelings of worthlessness might be coming out through my responses to nationwide polling organizations” said 51-year-old Detroit resident Joseph Wade reflecting the thoughts of his fellow survey respondents who conceded the dismal approval numbers they gave their nation’s leadership might be a defense mechanism against the lack of approval they felt for themselves. “It’s possible that when I tell Gallup or Rasmussen Reports that the president is doing a terrible job what I’m really saying is that I’m doing a terrible job. Am I disappointed by the inadequacy of this administration’s foreign policy initiatives or am I disappointed by the inadequacy I feel about myself? Because with the way things are going these days I might rate my own life at about 45%.” Wade added that his low expectations for Biden could also be an emotional survival strategy that dated  back to his childhood and reflected five decades of being let down by presidents.
2021-10-12T09:55:00-05:00,https://www.theonion.com/atlanta-in-chaos-after-city-changes-names-of-all-street-1847841031,Atlanta In Chaos After City Changes Names Of All Streets To ‘Maple Drive’ To Distance Itself From Confederate Past,ATLANTA—Sending motorists and pedestrians alike into a sea of confusion Atlanta was reportedly in chaos Tuesday after officials changed the names of every street to “Maple Drive” in an effort to distance the city from its Confederate past. “We applaud the municipality’s decision to no longer honor these racist historical figures but we do wish they could have found a few more street names just for the sake of clarity” said local woman Kathleen Stokes confirming that residents attempting to locate schools hospitals and shopping centers were stymied by hundreds of intersecting Maple Drives. “I’m trying to pick up my kids from a playdate and my GPS is having me continue on Maple til I see signs for Maple and then take a soft left on Maple. Don’t get me wrong—I didn’t like the idea of driving down streets named after people who fought for slavery but I’m pretty sure the name ‘Central Ave’ doesn’t connote any sort of problematic history.” At press time the city of Atlanta had corrected its error by renaming every street Martin Luther King Jr. Blvd. 
2021-10-12T09:53:00-05:00,https://www.theonion.com/mueller-suddenly-pieces-together-solution-to-russia-col-1847840984,Mueller Suddenly Pieces Together Solution To Russia Collusion Case While Watering Plants,WASHINGTON—Mumbling “my God” with a look of horror on his face former special counsel Robert Mueller suddenly pieced together the solution to the Russia collusion case while watering his plants sources confirmed Tuesday. “It can’t be—but of course!” said Mueller who paid no mind to the watering can that had slipped from his grasp and clattered at his feet as the sight of a flowering shrub triggered a memory of glimpsing four words from an overlooked document that would have led to the immediate arrest of former President Donald Trump. “My tea rose plants...tea roses…tea…rose! But then how does that connect to…? Okay but what about—oh yes! Ah I see. The answer’s been right in front of me this whole time! This changes everything!” At press time Mueller had collapsed in the garden clutching his heart.
2021-10-11T15:50:00-05:00,https://www.theonion.com/southwest-blames-cancellations-on-weather-being-too-bea-1847840775,Southwest Blames Cancellations On Weather Being Too Beautiful To Spend Whole Day Cooped Up On Plane,DALLAS—In a public statement Monday that declared it was absolutely gorgeous outside Southwest Airlines which canceled more than 2000 flights over the holiday weekend blamed the disruptions on the weather being too beautiful for anyone to spend their day cooped up on a plane. “There is absolutely no good reason for people to be stuck in an airplane cabin when they could be out there enjoying the fresh autumn air” said Southwest CEO Gary Kelly explaining that the airline had only the wellness of its customers in mind when it stymied tens of thousands of people’s weekend travel plans. “Why on earth would you choose to spend hours confined to a tiny metal tube instead of taking in the foliage in Vermont fishing on a lake in Wisconsin or  spending a day at the pool down in Houston. You can fly any old time but a three-day weekend this nice only comes every so often. I’m sure in the long run all those ticket holders will thank us.” Kelly added that customers shouldn’t be surprised if more flights were suspended before Southwest’s operations returned to normal because the forecast for the rest of the week looked spectacular.
